"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,464,"","","……結局、桜花の厚意に甘えるように、入れてくれた風呂に\n入ってきた。","……結局、桜花の厚意に甘えるように、入れてくれた風呂に入ってきた。","……結局、桜花の厚意に甘えるように、入れてくれた風呂に入ってきた。"
0,448,"","","外で遊んだ疲れと汗を流し、身を清める。","",""
0,448,"","","俺と汐音で交互に入り。","",""
0,448,"","","俺の部屋に戻る。","",""
0,448,"","","そして……。","",""
0,448,"汐音","","「……はぁ、ちゅ……ん」","",""
0,448,"","","汐音と口づけを交わしていた。","",""
0,448,"","","唇が離れる。","",""
0,448,"","","汐音の体を抱えるように、抱きしめる。","",""
0,456,"","","風呂上がりのパジャマを脱がせた。","",""
0,456,"","","汐音の体を後ろから抱えながら、愛撫をしていた。","",""
0,456,"","","豊満な二つの乳房の感触を両手で味わう。","",""
0,456,"道隆","","「胸、大きくて柔らかいな」","",""
0,456,"","","下から持ち上げようとすると、重みが直に伝わってくる。","",""
0,456,"","","力を入れないように、円を描くようにゆっくりと触っていく。","",""
0,456,"","","重力に逆って持ち上げる。\n重みで手の上からこぼれそうな胸を、乳首を摘まむようにして\n優しく撫でる。","重力に逆って持ち上げる。重みで手の上からこぼれそうな胸を、乳首を摘まむようにして優しく撫でる。","重力に逆って持ち上げる。重みで手の上からこぼれそうな胸を、乳首を摘まむようにして優しく撫でる。"
0,456,"","","風呂上がりのすべすべとした肌が気持ちよくて、何度も\n繰り返しマッサージをしていく。","風呂上がりのすべすべとした肌が気持ちよくて、何度も繰り返しマッサージをしていく。","風呂上がりのすべすべとした肌が気持ちよくて、何度も繰り返しマッサージをしていく。"
0,456,"","","柔らかい女の子の肌に触れている興奮はもちろんある。","",""
0,456,"","","しかし、同時によく知っている女の子の素肌に接している\nというのが俺の興奮を掻き立てていた。","しかし、同時によく知っている女の子の素肌に接しているというのが俺の興奮を掻き立てていた。","しかし、同時によく知っている女の子の素肌に接しているというのが俺の興奮を掻き立てていた。"
0,456,"汐音","","「……ん、手……やさしい……」","",""
